subj_id,qual_col,Timing_1,row,Name
R_cGTSCS88UP99f0x,Timing_1(8),9.131,8,camera
R_6ujqTETwTzRExX7,Timing_1(8),2.378,8,camera
R_1NfgfYV1GvFsWiN,Timing_1(8),,8,camera
R_0TiNGME0OVqJO3H,Timing_1(8),19.865,8,camera
R_0ih7r0MXsn7mCSV,Timing_1(8),7.9,8,camera
R_aWcEn0nidpymQER,Timing_1(8),4.2139999999999995,8,camera
R_9FZPEV6r7ezLOSN,Timing_1(8),7.562,8,camera
R_6zhc96D1g2EpM2h,Timing_1(8),1.757,8,camera
R_2a6HPCAFPrB4mIR,Timing_1(8),,8,camera
R_8nQqGUmR9MT1CTP,Timing_1(9),3.77,9,airplane
R_0NWkLPKVngfskaV,Timing_1(9),1.8659999999999999,9,airplane
R_2tvsWbcRX5R84ap,Timing_1(9),58.354,9,airplane
R_1TCKelAGYh94Ppr,Timing_1(9),,9,airplane
R_5uoQgdmI1psnW97,Timing_1(9),5.757000000000001,9,airplane
R_2aVo1rAUKgNJ8VL,Timing_1(9),26.375,9,airplane
R_03dyKKqahwimd1z,Timing_1(9),12.623,9,airplane
R_4I5pqYdhVgOKFKd,Timing_1(9),,9,airplane
R_1EWCq1k7UFauhNj,Timing_1(9),1.51,9,airplane
R_81xh6ldt0VxOPHL,Timing_1(9),4.736000000000001,9,airplane
